Micro-cycles


mcXX – Nom : Focus/thème | Objectif | Méthode d’entainement | Format(série, rep, respi, récup) |  Mouvements-clés | Progression | Intensité
mcA14 – Stimulation métabolique douce débutant : cardio doux + mobilité | relance énergie | enchaînement métabolique fluide | 20–25 min continu | exercices debout dynamiques, low impact | allongement progressif du temps d'effort continu | intensité faible

mcA15 – Réhabilitation fonctionnelle débutant : mouvements fonctionnels | coordination basique | circuit fonctionnel guidé | 3 séries de 6 reps, récup 30'' | squat, hinge, push, pull légers | amélioration du contrôle moteur + montée en charge légère | intensité très faible

mcA16 – Réhabilitation fonctionnelle intermédiaire : posture + pattern moteur | coordination + charge légère | circuit tempo structuré | 4 mouvements, 3 tours, récup 30–45'' | exercices poids du corps ou élastique | renforcement des amplitudes + ajout de variations | intensité faible
mcA17 – Réactivation cardio-respiratoire débutant : mobilisation + rythme | reprise cardio | cardio low impact en circuit | 20 min avec step, shadow boxing, marche | effort en cadence douce | réduction des pauses + intensification progressive | intensité faible

mcA18 – Coordination basique débutant : motricité | mouvements croisés debout | coordination croisée debout | 4–5 exercices en boucle, 2 tours | exos simples en rythme (genoux coudes, jumping jack lent) | introduction de schémas moteurs plus complexes | intensité très faible

mcA19 – Réintégration posturale douce débutant : posture + conscience | gainage postural léger | routine gainage au sol | 3 exos, 2 tours de 30–40'' par exo | pont fessier, hollow hold, scapula retractions | maintien plus long des postures + contrôle accru | intensité très faible

mcA20 – Préparation à l’effort léger débutant : éveil moteur | activation globale | routine cardio + renfo léger | 5 min cardio + 10 min renfo, récup courte | jumping jacks doux + squats + push up | augmentation de l’intensité ou complexité des exos | intensité faible

mcA21 – Préparation à l’effort léger intermédiaire : mobilité + cardio léger | échauffement complet | routine athlétique structurée | 20 min structuré, mobilité + cardio + activation | lunges, mobilité dynamique, sauts doux | réduction des transitions passives + rythme plus soutenu | intensité faible à modérée


🟨 B. Renforcement & tonification — version cohérente multi-niveaux
mcB01 – Renforcement global débutant : tonification | éveil musculaire global | circuit full body poids du corps | 2–3 circuits 3x10 reps, récup 30'' | squats, pompes, fentes, gainage | ajout progressif de répétitions ou d’un 3e tour | intensité faible
mcB02 – Renforcement global intermédiaire : tonification + contrôle | chaînes musculaires principales | circuit split haut/bas + core | 3 tours de 4 exos, récup 30–45'' | squats, push-up, gainage, tirages | complexification des mouvements par amplitude ou tempo | intensité modérée
mcB03 – Renforcement global confirmé : tonification complète | focus qualité + volume | split structuré haut/bas + tempo training | 4 exos par zone, 3 séries, tempo 3-1-1 | développé, tirage, squat, hip thrust | augmentation de charge et réduction du temps de récupération | intensité modérée à élevée
mcB04 – Hypertrophie MS intermédiaire : prise de masse haut du corps | stimulation pectoraux/dos/épaules | split haut classique | 3 exos, 3x12 reps, tempo 2-2 | développé couché, row, élévations | montée progressive de volume par groupe musculaire | intensité modérée
mcB05 – Hypertrophie MS confirmé : volume + tension | antagonistes ciblés | superset antagonistes + tempo contrôlé | 4 blocs de 2 exos, 3 séries, tempo 2-1-2 | pec fly + row, développé + tirage | ajout de charge ou densité en fin de série | intensité élevée
mcB06 – Hypertrophie MI intermédiaire : développement jambes complet | quadriceps, ischio-jambiers, fessiers | tri-set jambes | 3 blocs, 3x12 reps, tempo 3-1-1 | squats, fentes, hip thrust | augmentation lente de la charge + focus technique | intensité modérée
mcB07 – Hypertrophie MI confirmé : hypertrophie ciblée jambes | quadriceps, ischios, mollets, adducteurs | split jambes segmenté | 4 exos, 3 séries, tempo 2-2 | front squat, hip thrust, mollets assis, abduction | surcharge progressive sur chaque zone ciblée | intensité élevée
mcB08 – Hypertrophie core intermédiaire : gainage profond + abdominaux | activation complète du centre | circuit abdos sol | 3 tours de 5 exos, 30–45 sec/exo | crunch, planche, russian twist, hollow hold | maintien plus long + ajout de résistance | intensité modérée
mcB09 – Hypertrophie core confirmé : renforcement intense du tronc | rotation + anti-rotation + gainage lesté | circuit fonctionnel abdos | 4 exos, 4 séries, récup 30–40'' | cable chop, pallof press, planche lestée | progression via charge et instabilité | intensité élevée
mcB10 – Hypertrophie full-body équilibrée intermédiaire : force harmonieuse | haut/bas + core en alternance | circuit structuré fonctionnel | 3 circuits de 4 exos, récup 30–45'' | push-up, tirage, squat, gainage | montée de volume ou ajout d'un 4e tour | intensité modérée
mcB11 – Hypertrophie full-body équilibrée confirmé : tonus + force globale | split horizontal/vertical + core | bloc structuré avec tempo contrôlé | 4 blocs, 3 séries, tempo 2-1-2 | push press, deadlift, planche lestée | progression via tempo + charge | intensité élevée
mcB12 – Hypertrophie unilatérale confirmé : asymétries + stabilité | travail bras/jambes alternés | superset unilatéral haut/bas | 3 blocs de 2 exos (gauche/droite), 3 séries | fentes, tirage unilatéral, press unilatéral | équilibrage progressif des côtés | intensité élevée
mcB13 – Hypertrophie tempo contrôlé confirmé : tension mécanique continue | optimisation du temps sous tension | tempo training strict | 4x10 reps, tempo 3-1-1, récup 60'' | squat tempo, curl tempo, press tempo | maintien du tempo avec augmentation charge | intensité élevée
mcB14 – Hypertrophie pré-fatigue confirmé : iso avant poly | congestion ciblée | superset pré-fatigue | 2x (iso 12 reps + poly 10 reps), 4 blocs | pec fly + bench, leg ext + squat | charge constante, fatigue accrue | intensité élevée
mcB15 – Hypertrophie dégressive confirmé : volume extrême | drop sets | 3 exos, 3 séries dégressives | 12 + 8 + 6 reps, charge décroissante | curl haltères, squat machine, dips lestés | réduction progressive de la charge sur chaque série | intensité extrême
mcB16 – Endurance musculaire débutant : tolérance à l’effort | poids du corps + enchaînements rapides | circuit léger continu | 20 min, 5 exos, 30’’ effort / 15’’ pause | jumping jacks, squats, planches, fentes | ajout d’un 6e exo ou d’un 3e tour | intensité faible
mcB17 – Endurance musculaire intermédiaire : volume + tolérance | reps longues, tempo rapide | circuit avec récupération partielle | 4 exos, 3 tours, 30–40 reps/exo | dips, squats, push-up, gainage dynamique | allongement des séries ou réduction récup | intensité modérée
mcB18 – Endurance musculaire confirmé : résistance à la fatigue | reps élevées + charge légère | circuit full reps | 5x20 reps, récup 30–40’’ | shoulder press, squat, tirage, hip thrust | maintien du volume + tempo rapide | intensité élevée
mcB19 – Tonicité fonctionnelle débutant : tonus léger | activation mobilité + renfo | routine tonique douce | 15–20 min fluide, 4 exos | squat pdc, fentes, planche, étirement actif | maintien du flow + ajout d’un tour | intensité faible
mcB20 – Tonicité fonctionnelle intermédiaire : tonicité utile | gainage dynamique + mouvements complets | circuit tonique fonctionnel | 4x12 reps, 4 exos, récup 30'' | clean pdc, planche active, tirage, squat | augmentation du rythme + maintien technique | intensité modérée
mcB21 – Gainage & stabilité débutant : core basique | stabilité au sol | routine gainage statique | 3 exos, 3x30 sec, récup 20'' | planche, side plank, hollow hold | allongement progressif du maintien | intensité très faible
mcB22 – Gainage & stabilité intermédiaire : renforcement profond | dynamique + anti-rotation | gainage actif avec tempo | 4 exos, 3 séries, tempo 3-1-2 | planche dynamique, pallof, bird dog | maintien technique + complexification des plans | intensité modérée
mcB23 – Gainage & stabilité confirmé : stabilité extrême | instabilité + résistance | circuit gainage lesté | 5 exos, 3–4 séries, 30–45 sec/exo | planche lestée, gainage swiss ball | ajout de charge + maintien prolongé | intensité élevée
mcB24 – Renforcement unilatéral intermédiaire : asymétries | unilatéral jambes/bras + core | circuit unilatéral alterné | 3 circuits 3x12, récup 30–40'' | fentes, tirage 1 bras, side plank | maintien du rythme + +1 rep par côté | intensité modérée
mcB25 – Renforcement unilatéral confirmé : contrôle moteur + force | unilatéral lesté + équilibre | routine split unilatéral | 4 exos, 3–4 séries, tempo 2-1-2 | pistol squat, row 1 bras, overhead press unilatéral | progression charge ou complexité | intensité élevée
mcB26 – Renforcement postural débutant : posture & conscience | activation chaîne postérieure légère | routine gainage + mobilité ciblée | 3 exos, 2–3 séries, 30–40 sec/exo | pont fessier, bird dog, extension bras-jambes | augmentation temps de maintien + contrôle | intensité très faible

mcB27 – Renforcement postural intermédiaire : posture + tonicité | stabilité dos + bassin | circuit postural fonctionnel | 4 exos ciblés, 3 séries, récup 30'' | good morning, planche dynamique, glute bridge, abduction | ajout d’amplitude + durée de maintien | intensité modérée
mcB28 – Force fondamentale intermédiaire : base de force | maîtrise des patterns fondamentaux | méthode 4x8 reps sur polyarticulaires | 4 exos, 4x8 reps, charge modérée, récup 60–90'' | squat, tirage, développé, push-up | montée de charge progressive | intensité modérée
mcB29 – Force fondamentale confirmé : développement force | patterns polyarticulaires avec intensité | split force classique | 5 exos, 4x4–6 reps, charge lourde, récup 2' | squat, bench, row, hip thrust, farmer walk | montée en charge + baisse reps | intensité élevée
mcB30 – Excentrique confirmé : contrôle + adaptation tendons | phase descendante lente | tempo training excentrique | 3–4 exos, 4 séries, tempo 5-1-1 | squat, développé, tirage, hip thrust | maintien du tempo + complexité gestuelle | intensité très élevée
mcB31 – Concentrique explosif confirmé : vitesse + puissance | production rapide de force | concentric speed training | 4 exos, 3–5 reps, récup 60–90'' | jump squat, push press, power clean | accélération + réduction temps de transition | intensité élevée
mcB32 – Combiné excentrique/concentrique confirmé : double travail | alternance lente/explosif | méthode contrastée tempo + pliométrie | 3 exos, 3–4 séries, tempo 4-0-1 + saut | squat tempo + jump, hip thrust + broad jump | coordination lente/explosive + volume | intensité élevée
mcB33 – Excentrique lourd / concentrique rapide confirmé : force + vitesse | excentrique surchargée + retour explosif | méthode négative + concentrique rapide | 4 exos, 3 séries, tempo 5-0-X | squat avec assistance + remontée rapide | +5% charge en excentrique | intensité extrême
mcB34 – Pliométrie contrôlée intermédiaire : rebonds + amortis | coordination bas du corps | circuit pliométrique modéré | 3 circuits de 3 exos, 20'' effort, 40'' récup | box jump, step jump, squat jump | ajout d’un exo + réduction récup | intensité modérée
mcB35 – Pliométrie contrôlée confirmé : explosivité + amorti | enchaînements sautés | circuit pliométrique multidirectionnel | 4 exos, 4x20 sec, récup 30–40'' | drop jump, bounds, lateral jump | densité accrue ou complexité spatiale | intensité élevée
mcB36 – Travail sous fatigue confirmé : tolérance effort | effort soutenu sans récupération | circuit haut/bas répété | 5 exos, 4 tours, récup minimale | push-up, air squat, fente sautée, row, planche | ajout d’un 5e tour ou réduction pause | intensité très élevée
mcB37 – Stabilité fonctionnelle intermédiaire : contrôle postural | équilibre dynamique | circuit instable avec support | 3 blocs, 3x30 sec, récup 30'' | BOSU squat, gainage instable, bird dog | augmentation durée ou complexité support | intensité modérée
mcB38 – Volume progressif intermédiaire : adaptation progressive | tolérance volume | série pyramidale fixe reps | 3 à 5 exos, 4 séries, 12 reps | squat, tirage, push-up, dips | ajout d’un exo ou d’un 5e set | intensité modérée
mcB39 – Volume progressif confirmé : surcharge continue | extension du volume total | méthode volume croissant hebdo | 4 à 6 exos, 4–5 séries, 10–15 reps | split haut/bas, focus groupe faible | progression du nombre de séries / semaine | intensité modérée à élevée
mcB40 – Transverse & gainage profond débutant : respiration + centre | activation du transverse au sol | routine respiration + gainage statique | 3 exos, 3x20 sec, récup 20–30'' | hollow hold, planche, respiration diaphragmatique | tenue accrue + précision contraction | intensité très faible
mcB41 – Transverse & gainage profond intermédiaire : engagement profond | contrôle du centre + dissociation bassin/cage | circuit gainage + respiration guidée | 4 exos, 3 séries, tempo contrôlé | planche, deadbug, hollow hold, breathing hold | ajout d'amplitude ou maintien prolongé | intensité modérée
mcB42 – Transverse & gainage profond confirmé : stabilité centrale max | travail combiné résistance + rotation | circuit instable + gainage lesté | 3 blocs, 3 exos par bloc, 30–40 sec/exo | planche lestée, twist unilatéral, swiss ball hold | densification du temps + complexification des angles | intensité élevée
mcB43 – Activation plancher pelvien débutant : contraction réflexe | prise de conscience périnéale + souffle | respiration diaphragmatique + contraction guidée | 3 exos, 10–15 reps, récup libre | expiration + contraction périnée, posture assise | maintien progressif + contrôle volontaire | intensité très faible
mcB44 – Activation plancher pelvien intermédiaire : activation interne | engagement périnéal + coordination souffle | contraction volontaire + respiration active | 3 séries ciblées de 10–15 reps | bridge, seated activation, breath-hold press | ajout d'amplitude de contraction + dissociation cage | intensité très faible
mcB45 – Activation plancher pelvien confirmé : contrôle postural profond | stabilisation abdo-périnée + intégration core | séquence respiratoire + gainage dynamique | 4–5 exos, format lent guidé | planche basse + souffle, hollow hold, bridge actif | maintien actif + combinaisons + enchaînements longs | intensité faible
mcB46 – Core dynamique rotation/anti-rotation intermédiaire : contrôle rotationnel | résistance aux forces de torsion | circuit rotation/anti-rotation | 3–4 exos, 3 séries, 30–40 sec/exo | chops, pallof press, russian twist | ajout de résistance ou vitesse d'exécution | intensité modérée
mcB47 – Core dynamique rotation/anti-rotation confirmé : anti-rotation fonctionnelle | stabilité tronc sous contrainte | routine rotationnelle instable | circuit de 5–6 exos, récup 30–45'' | pallof press unilatéral, med ball twist, deadbug instable | augmentation charge ou fréquence gestuelle | intensité modérée à élevée
mcB48 – Lombo-pelvien débutant : stabilité lombo-pelvienne | activation du centre + dissociation | routine statique + dynamique douce | 2 circuits, 3 exos chacun, 3 séries, 20–30 sec | bird dog, pont, hollow hold simplifié | maintien plus long + précision technique | intensité faible
mcB49 – Lombo-pelvien intermédiaire : contrôle moteur bassin | coordination centre + mobilité active | circuit gainage + mobilité | 4 exos, 2–3 tours, 30–40 sec/exo | deadbug, planche active, fente modifiée, hip lift | allongement des phases actives + complexité | intensité faible à modérée
mcB50 – Lombo-pelvien confirmé : transfert de force | stabilisation sous charge + vitesse | circuit dynamique + rotation fonctionnelle | 4–5 exos, 3–4 séries, récup 45–60'' | rotation squat, overhead hold, split stance press | intensité croissante via instabilité ou vitesse | intensité modérée à élevée
mcB51 – Hypopressif / Pilates dynamique débutant : souffle + gainage profond | engagement transverse + posture | flow respiratoire au sol | séquence de 3–4 exos, 2–3 séries | hypopressifs, respiration costale, mobilisation lente | maintien des postures + précision respiratoire | intensité très faible
mcB52 – Hypopressif / Pilates dynamique intermédiaire : coordination souffle/posture | contrôle moteur + mobilité lente | enchaînement fluide pilates | flow 20 min au sol | roll-up, deadbug, planche dynamique | allongement du flow ou intégration rotation | intensité faible à modérée
mcB53 – Hinge + Overhead intermédiaire : coordination posturale | activer la chaîne postérieure et l’axe bras-hanche | tempo contrôlé + stabilité active | 3x10/side, tempo 3-1-1, RPE 5, récup 45’’ | RDL unilatéral, overhead press unilatéral, fente stable | +1 rep/side ou +1 série | intensité faible-moyenne
mcB54 – Hinge + Overhead confirmé : stabilité dynamique | symétrie sous contrainte + posture précise | tempo lent + maintien isométrique | 4x10/side, tempo 4-2-1, RPE 6, récup 30–45’’ | RDL unilatéral avec tempo, overhead hold press, bird-dog row | +2 reps/side ou +2,5% charge | intensité moyenne
mcB55 – Pré-renforcement élastique débutant : activation douce | échauffement musculaire sécurisant | tempo lent avec faible résistance | 2x15 reps, tempo 3-1-2, RPE 3, récup 45’’ | shoulder press bande, abduction bande, row bande | +1 série ou +résistance légère | intensité très faible
mcB56 – Pré-renforcement élastique intermédiaire : contrôle moteur | sollicitation croissante sécurisée | tempo précis + résistance croissante | 3x15 reps, tempo 3-1-2, RPE 4, récup 30–45’’ | row bande, shoulder press bande, élévation frontale | +résistance ou ajout d’un exo postural | intensité faible
mcB57 – Circuit contraintes débutant : apprentissage du contrôle | posture & pauses simples | circuit polyarticulaire avec maintien | 2 tours x 4 exos x 10 reps, tempo 2-2-2, récup 45’’ | air squat pause, push-up mur, planche 30’’ | +1 rep ou +5’’ de pause | intensité faible
mcB58 – Circuit contraintes intermédiaire : activation technique | exécution propre + isométrie ciblée | circuit 4 exos avec pauses | 3 tours x 4 exos x 12 reps, tempo 3-1-2, récup 30–45’’ | squat mi-amplitude, push-up bas, gainage latéral pause | +1 rep/exo ou pause + longue | intensité faible-moyenne
mcB59 – Circuit contraintes confirmé : précision mécanique | stabilisation en contrainte | maintien long en positions clés | 4 tours x 4 exos x 10–15 reps, tempo 4-2-2, récup 30’’ | squat iso, push-up tempo, hollow hold, glute bridge pause | +1 tour ou +5’’ maintien | intensité moyenne
mcB60 – Unilatéral élastique débutant : coordination douce | renforcer symétrie gauche/droite sans charge | tempo lent et stable | 2x10/side, tempo 2-2-2, RPE 3, récup 45’’ | fente assistée bande, rowing bande bras tendu, overhead press bande | +1 rep/side ou +résistance mini | intensité faible
mcB61 – Unilatéral élastique intermédiaire : stabilité unilatérale | harmoniser force et posture | tempo contrôlé + équilibre | 3x12/side, tempo 2-2-2, RPE 4, récup 30–45’’ | fente avant élastique, rowing bande unilatéral, overhead press bande | +2 reps ou +résistance par côté | intensité faible-moyenne
mcB62 – Split mobilité intermédiaire : amplitude sous charge | améliorer mobilité active jambes + dos | split simple + tempo fluide | 3x10 reps, tempo 3-1-2, RPE 5, récup 45’’ | overhead squat PVC, good morning poids du corps, bent-over row léger | +2 reps ou +1 série | intensité faible-moyenne
mcB63 – Split mobilité confirmé : contrainte sous contrôle | renforcer amplitude complète avec charge | tempo lent + format structuré | 4x12 reps, tempo 3-1-2, RPE 6, récup 45’’ | overhead squat léger, good morning haltères, rowing contrôle tempo | +2 reps ou +2,5% charge | intensité moyenne
mcB64 – Prévention genoux débutant : stabilité de base | activer les muscles péri-articulaires | mini-band + isométrie légère | 3 exos x 10 reps, récup 45’’ | monster walk, wall sit, pont fessier bande | +1 rep/exo ou +résistance légère | intensité faible
mcB65 – Prévention genoux intermédiaire : stabilité dynamique | renforcer soutien genoux en mouvement | mini-circuit + iso dynamique | 4 exos x 12 reps, récup 30–40’’ | fente bande, bridge une jambe, monster walk, wall sit | +1 rep ou +résistance bande | intensité faible-moyenne
mcB66 – Prévention genoux confirmé : renfo correctif | endurance posturale ciblée | circuit renfo + isométrie longue | 5 exos x 12–15 reps, récup 30’’ | fente iso tempo, wall sit bras levés, glute bridge, marche bande latérale | +1 série ou maintien plus long | intensité moyenne
mcB67 – Renfo lombaire débutant : activation douce | stimuler chaîne postérieure basse intensité | séquence au sol courte | 3x3 exos, 30 sec chacun, récup 30’’ | bird dog, hollow hold genoux au sol, back extension mains au dos | +5’’ par exo ou +1 série | intensité très faible
mcB68 – Renfo lombaire intermédiaire : gainage postérieur | endurance segmentaire bas du dos | routine au sol avec maintien | 3 exos, 3x30–40 sec, récup 30’’ | hollow hold, bird dog, back extension bras croisés | +10 sec ou +1 série | intensité faible
mcB69 – Tendon Achille intermédiaire : prévention tendon | renforcer mollets en excentrique | tempo lent sur step | 3x10–12 reps/side, tempo 4-0-1, RPE 5, récup 45’’ | mollet unilatéral excentrique, extension cheville lente | +1 rep/sem ou +charge faible | intensité faible-moyenne
mcB70 – Tendon Achille confirmé : excentrique renforcé | tolérer contraintes tendineuses | progression sur tempo + charge | 3x12–15 reps/side, tempo 5-1-1, RPE 6, récup 30’’ | mollet excentrique unilatéral lesté, drop control | +2 reps ou +2,5 kg / semaine | intensité moyenne
mcB71 – Nordic + core intermédiaire : chaîne postérieure + gainage | initier excentrique et stabilité tronc | combinaison effort + maintien | 2x6 Nordic + 2x20 sec anti-rotation, récup 60’’ | Nordic assisté, pallof press bande, gainage bras tendus | +1 rep Nordic ou +10 sec core | intensité moyenne
mcB72 – Nordic + core confirmé : résistance excentrique | renforcer ischios + anti-rotation avancée | excentrique + maintien + fatigue | 3x8 Nordic + 3x20 sec anti-rotation, récup 45–60’’ | Nordic strict, pallof press, gainage bras tendus instable | +1 rep Nordic ou +résistance core | intensité modérée à élevée
mcB73 – Prophylaxie épaule débutant : mobilité douce | activer coiffe + thorax | circuit élastique lent | 2x10 reps, récup 45’’ | face pull bande, dislocate bâton, rotation externe bande | +1 rep ou +résistance légère | intensité faible
mcB74 – Prophylaxie épaule intermédiaire : renfo posture + mobilité | ouverture + stabilité légère | circuit fluide guidé | 3x10 reps, récup 30–45’’ | face pull, dislocate, L-raise bande | +1 exo postural ou +résistance | intensité faible-moyenne
mcB75 – Bas du corps entretien débutant : relancer bas du corps | force + mobilité sans charge | routine fluide légère | 2x10 reps, récup 45’’ | squat, glute bridge, ouverture hanche | +1 rep/exo ou +1 série | intensité faible
mcB76 – Bas du corps entretien intermédiaire : renfo jambes + amplitude | mobilité active sous tension | circuit dynamique | 3x12 reps, récup 30–40’’ | squat, fente, ouverture hanche, glute bridge | +1 rep ou +1 série par semaine | intensité faible-moyenne


🟥 C. Brûlage métabolique


mcC01 – Perte de masse grasse débutant : activation métabolique | amorcer la dépense énergétique | circuit cardio-mix doux | 3 circuits de 3 exos × 12 reps, récup 30'' | air squat, step touch, push-up muraux | +1 tour ou +1 rep/exo | intensité faible
mcC02 – Perte de masse grasse intermédiaire : lipolyse + volume | augmenter la dépense + endurance musculaire | split haut/bas avec cardio intégré | 4 blocs × 4 exos × 15 reps, récup 30'' | jumping jack, lunges, push-up, MC | +1 exo ou +charge légère | intensité modérée
mcC03 – Perte de masse grasse confirmé : combustion intense | effort combiné muscu/cardio soutenu | circuit haute intensité | 5 blocs × 5 exos × 20 reps, récup 20–30'' | burpees, thrusters, jump squats, push-up, MC | -5'' récup ou +1 tour | intensité élevée
mcC04 – Métabolisme actif intermédiaire : activation fil rouge | maintenir effort continu + diversité musculaire | circuit multi-chaînes | 4 circuits × 4 exos, 30–40 sec effort, récup 20'' | squat, fente, planche active, saut pied joint | +1 exo ou +temps effort | intensité modérée
mcC05 – Métabolisme actif confirmé : maintien métabolisme élevé | enchaînement rapide cardio/muscu | split cardio/muscu avec transitions | 6 exos en boucle, 30 sec effort / 15 sec récup | airbike, swings, squat jump, rope, dips, plank | -5'' récup ou +1 tour | intensité élevée
mcC06 – Circuits cardio-muscu débutant : circuit mixte doux | combiner cardio léger + mouvements globaux | routine alternée | 3 tours × 6 exos × 30 sec, récup 20–30'' | step tap, air squat, planche, montée genoux, push-up | +1 tour ou +5'' effort | intensité faible
mcC07 – Circuits cardio-muscu intermédiaire : circuit complet | cardio + muscu sans pause | 8 exos enchaînés | 4 cardio / 4 muscu × 30 sec/exo, récup 15 sec | burpees, lunges, push-up, jumping jack, dips, squats | +1 circuit ou +intensité | intensité modérée
mcC08 – Circuits cardio-muscu confirmé : circuit haute intensité | effort soutenu + fréquence cardiaque élevée | alternance charge/cardio | 5 exos alternés × 4 tours, effort 40 sec / récup 15 sec | thruster, jump rope, squat jump, row, MC | -5'' récup ou +1 exo | intensité élevée
mcC09 – Intensité croissante intermédiaire : montée en puissance | effort par palier | circuit progressif | 3 blocs intensité croissante × 4 exos, 30–45–60 sec | step up, push-up, air squat, MC | +5 sec par bloc ou +charge | intensité modérée à élevée
mcC10 – Densité d’effort intermédiaire : volume + fréquence | réduction des temps de repos | routine densifiée | 5 exos × 30–40 sec effort / 10 sec récup | burpees, push-up, squat, jumping jack, rope | +1 rep/exo ou -5'' récup | intensité modérée
mcC11 – Densité d’effort confirmé : surcharge métabolique | effort enchaîné sous haute intensité | bloc continu | 6 exos × 3–4 séries, récup 10–15 sec | thrusters, burpees, rope, MC, squat jump, dips | +1 tour ou +vitesse exécution | intensité élevée
mcC12 – Fat-burn zone 2 débutant : effort modéré prolongé | travail cardio zone 2 (65–70% FCM) | effort continu aérobie | 30–45 min en continu | marche rapide, vélo, rameur | +5' ou +vitesse légère | intensité faible
mcC13 – Fat-burn zone 3 intermédiaire : lipolyse + endurance | effort soutenu zone 3 (70–80% FCM) | cardio continu modéré | 35–45 min continu, HR controlée | footing, airbike, rameur | +1 exo ou +vitesse | intensité modérée
mcC14 – Brûlage efforts longs intermédiaire : combustion progressive | effort constant prolongé | circuit long effort | 40 min en continu, pas de pause | air squat, swing KB, fente, step touch | +temps ou +amplitude mouvement | intensité modérée
mcC15 – Cardio tonique stable intermédiaire : dépense constante | effort stable et global | séquence cardio fluide | 3 blocs × 10–12 min, récup 1 min | bike, MC, step, corde à sauter | +temps de travail ou +1 bloc | intensité modérée
mcC16 – Endurance métabolique intermédiaire : tolérance effort prolongé | répétition bas-intensité sans pause | circuit répétitif | 4 x 6 min effort, récup 1 min | air squat, pompes, dips, step tap | +1 cycle ou +durée effort | intensité modérée
mcC17 – Endurance métabolique confirmé : endurance + intensité | tolérer volume + charge | bloc structuré haute fréquence | 5 exos × 4 séries, récup 20 sec | thrusters, dips, swing, row, jump squat | +1 exo ou -5'' récup | intensité élevée
mcC18 – Résistance métabolique confirmé : maintien intensité sous charge | volume élevé + récup minimale | séquence haute densité | 6 exos × 45 sec effort / 15 sec récup | KB swings, squat jump, burpees, push-up | -5'' récup ou +1 tour | intensité très élevée
mcC19 – Intervalles métaboliques intermédiaire : alternance effort/repos | travail court/rapide répété | bloc intervalles | 6 exos × 40/20 sec, 3 tours | rope, squat, MC, dips, step, push-up | +1 tour ou +intensité | intensité modérée à élevée
